"Máquinas; implementos e estrutura";"Quantidade";"Anos de uso"
"Trator";1,47649572649573;22,5726495726496
"Estrutura de irrigação";2,71907514450867;21,5739644970414
"Estufa";5,68055555555556;15,9859154929577
"Máquinas de beneficiamento";2,30645161290323;8,06666666666667
