"Culturas";"Área";"Rendimento"
"Culturas anuais";104,944329896907;34380,2135416667
"Culturas permanentes";1,906038647343;25234,3969849246
"Pastagens";1,30243902439024;15616,6666666667
"Matas e áreas florestais";1,95298507462687;3705,94117647059
"Benfeitorias";0,461111111111111;NA
"Total";4,94901960784314;45053,984063745
