"Item","Possui","Não possui"
"Energia elétrica",299,2
"Computador com acesso a internet",35,267
"Internet",162,140
"TV",246,56
"Telefone fixo",84,218
"Telefone celular",248,54
"Rádio",243,59
"Tv por assinatura",55,247
