"Var1","Freq"
"Não possui",8
"Consegue ler/escrever",40
"Fundamental Incompleto",91
"Fundamental Completo",53
"Médio Incompleto",48
"Médio Completo",45
"Superior Incompleto",12
"Superior Completo",5
