"Risco","Tempestades","Inundações","Seca","Geadas","Veranicos","Insetos","Fungos","Ventos","Granizo","Excesso de chuva"
"Nenhum",39,128,95,28,76,55,50,37,37,45
"Baixo",88,105,144,102,137,147,128,85,92,128
"Alto",125,53,51,122,77,94,105,116,121,97
"Muito Alto",47,13,9,47,9,3,16,61,49,29
